campaign_id,plan_tier,target_industry,launch_date,emails_sent,bounces,emails_opened,emails_replied,meetings_booked,enrichment_mode,avg_ai_fit_score,knowledge_base_active,credits_spent
114,Free,Finans,2025-07-22,2163,43,1238,69,13,Standard,56,False,2163
115,Free,SaaS,2026-02-23,2305,108,704,95,20,Deep Dive,86,True,6915
116,Free,SaaS,2025-09-28,422,26,257,17,5,Deep Dive,96,False,1266
117,Basic,finans,2025-12-29,939,40,401,14,2,Standard,40,False,939
118,Startup,SaaS,2026-01-12,264,4,127,13,2,Standard,79,False,264
119,Enterprise,Finans,2025-07-03,416,27,249,13,3,Deep Dive,87,True,1248
120,Startup,finans,2026-01-14,14585,159,6012,764,200,Standard,49,True,14585
121,Enterprise,Rekruttering,2025-04-25,1549,106,478,63,12,Deep Dive,86,True,4647
122,Basic,Rekruttering,2025-06-05,1914,80,1210,158,41,Standard,63,True,1914
123,Basic,finans,2025-03-31,1105,70,379,47,6,Deep Dive,91,False,3315
124,Enterprise,Rekruttering,2025-08-20,289,14,120,16,4,Deep Dive,91,True,867
125,,Rekruttering,2025-10-26,612,37,202,15,4,Standard,52,True,612
126,Basic,SaaS,2025-04-29,749,43,274,10,2,Deep Dive,90,False,2247
127,Basic,Finans,2026-01-15,721,16,333,25,6,Standard,72,True,721
128,Pro,SaaS,2025-10-18,238,18,101,6,2,Standard,66,False,238
129,Enterprise,finans,2025-06-02,2195,112,1146,114,16,Standard,85,False,2195
130,Enterprise,Rekruttering,2026-02-16,736,17,222,32,7,Deep Dive,80,False,2208
131,Pro,Finans,2025-07-08,2383,162,892,61,21,Deep Dive,93,False,7149
132,Enterprise,SaaS,2025-04-27,2096,95,804,64,11,Deep Dive,89,True,6288
133,Basic,finans,2025-06-01,552,31,357,51,12,Deep Dive,88,False,1656
134,,saas,2025-11-21,293,8,105,7,1,Deep Dive,95,False,879
135,Enterprise,finans,2025-11-12,2197,65,693,27,3,Deep Dive,98,False,6591
136,Pro,Rekruttering,2025-06-20,1741,114,937,85,N/A,Deep Dive,75,True,5223
137,Startup,Finans,2025-12-17,2153,141,1322,113,27,Standard,58,False,2153
138,Enterprise,SaaS,2026-01-28,644,37,303,17,3,Standard,47,True,644
139,Pro,SaaS,2026-01-17,1597,82,732,45,11,Standard,49,True,1597
140,Basic,saas,2025-09-15,1801,118,622,70,16,Deep Dive,98,False,5403
141,,saas,2025-11-16,1550,22,609,34,5,Deep Dive,92,False,4650
142,Enterprise,Rekruttering,2025-04-23,133,4,68,2,1,Standard,57,True,133
143,Enterprise,SaaS,2025-11-25,1073,56,657,67,19,Standard,73,True,1073
144,Basic,saas,2025-07-09,1326,89,529,22,6,Standard,75,True,1326
145,Startup,saas,2026-02-04,2324,116,1084,70,13,Standard,51,False,2324
146,Startup,finans,2026-01-06,1414,106,600,72,24,Deep Dive,92,True,4242
147,Pro,SaaS,2025-06-03,150,9,90,7,2,Deep Dive,93,False,450
148,Free,SaaS,2026-02-19,1572,123,968,68,20,Standard,52,False,1572
149,Pro,Rekruttering,2025-12-17,189,14,121,10,N/A,Standard,44,True,189
150,Free,Finans,2026-01-06,1161,47,451,59,15,Standard,49,False,1161
151,Basic,SaaS,2026-02-18,491,39,221,14,3,Standard,77,True,491
152,Enterprise,saas,2025-05-20,1867,134,841,83,11,Standard,47,True,1867
153,Startup,Finans,2026-01-12,1960,63,1029,152,43,Deep Dive,79,False,5880
154,Free,SaaS,2025-09-20,2113,58,892,75,16,Standard,58,False,2113
155,Pro,Rekruttering,2026-03-01,1186,51,640,95,21,Deep Dive,88,True,3558
156,Pro,Rekruttering,2025-09-29,867,45,386,20,4,Deep Dive,88,False,2601
157,Startup,saas,2025-08-22,1225,16,447,30,3,Standard,80,False,1225
158,Enterprise,Finans,2026-01-31,1310,35,706,70,18,Deep Dive,76,False,3930
159,Pro,saas,2025-03-26,2438,100,886,88,27,Deep Dive,95,True,7314
160,Pro,SaaS,2025-05-10,564,11,338,15,5,Standard,57,False,564
161,Basic,SaaS,2025-08-30,1683,73,809,33,8,Standard,47,True,1683
162,Pro,SaaS,2025-12-09,921,35,571,45,5,Deep Dive,81,False,2763
163,Free,SaaS,2025-05-29,1317,39,811,41,5,Deep Dive,88,False,3951
164,Pro,finans,2026-01-02,1579,39,519,50,11,Deep Dive,89,False,4737
165,Free,finans,2025-11-04,388,16,148,14,4,Standard,64,False,388
166,Enterprise,saas,2026-02-13,1144,48,426,33,11,Deep Dive,86,True,3432
167,Pro,finans,2025-08-17,1366,72,869,95,22,Standard,57,False,1366
168,Enterprise,Finans,2026-01-28,431,12,257,29,4,Standard,83,True,431
169,,finans,2025-07-14,409,12,258,20,4,Standard,81,True,409
170,Basic,SaaS,2025-05-31,2174,23,1334,114,12,Deep Dive,84,False,6522
171,Free,saas,2025-04-13,1294,59,415,16,5,Standard,59,False,1294
172,Enterprise,SaaS,2025-07-14,766,13,344,33,8,Standard,54,False,766
173,Startup,Rekruttering,2025-07-15,1996,64,886,46,6,Deep Dive,87,False,5988
174,Startup,Finans,2025-10-04,1727,43,672,97,18,Standard,48,False,1727
175,Enterprise,SaaS,2026-02-24,167,11,64,6,1,Standard,85,False,167
176,Enterprise,finans,2025-12-26,1432,101,873,86,15,Deep Dive,80,False,4296
177,Pro,SaaS,2026-02-24,2380,42,1216,167,48,Deep Dive,95,True,7140
178,Free,SaaS,2025-04-20,894,30,371,20,5,Deep Dive,87,False,2682
179,Enterprise,SaaS,2025-09-11,1074,18,490,63,17,Standard,63,False,1074
180,Basic,SaaS,2025-04-28,2495,100,958,79,N/A,Standard,50,False,2495
181,Startup,Finans,2025-03-27,2194,175,1169,82,28,Standard,61,True,2194
182,Startup,SaaS,2025-03-27,647,27,373,28,6,Standard,70,True,647
183,Free,Rekruttering,2025-04-09,1783,44,1072,118,21,Standard,76,True,1783
184,Enterprise,Rekruttering,2026-03-01,1184,91,647,20,N/A,Deep Dive,96,False,3552
185,,SaaS,2025-04-25,867,23,363,13,3,Deep Dive,80,False,2601
186,Enterprise,SaaS,2025-11-30,507,38,319,20,6,Deep Dive,75,False,1521
187,Pro,saas,2025-04-17,1413,25,688,37,4,Standard,49,False,1413
188,Startup,SaaS,2025-12-28,1757,56,883,123,26,Deep Dive,96,True,5271
189,Enterprise,Rekruttering,2025-07-03,439,21,140,10,2,Deep Dive,93,True,1317
190,Startup,Finans,2025-11-21,1768,86,711,93,11,Standard,60,False,1768
191,Startup,SaaS,2025-04-21,1725,40,946,97,20,Deep Dive,98,True,5175
192,Pro,Rekruttering,2025-10-13,168,5,96,4,1,Standard,82,True,168
193,Pro,saas,2025-07-07,2026,91,781,73,15,Standard,84,True,2026
194,Free,SaaS,2025-06-21,954,67,289,43,11,Standard,51,True,954
195,Basic,saas,2026-03-15,391,21,203,30,10,Deep Dive,85,True,1173
196,Enterprise,Rekruttering,2026-02-10,947,40,469,53,11,Standard,78,False,947
197,Free,SaaS,2026-02-17,2462,25,774,52,15,Deep Dive,94,False,7386
198,Basic,Rekruttering,2025-12-19,182,10,64,2,1,Deep Dive,91,True,546
199,Free,Finans,2025-07-12,998,37,552,53,11,Standard,66,False,998
200,Basic,finans,2025-05-01,2489,122,1487,176,19,Deep Dive,78,False,7467
201,Startup,Rekruttering,2025-06-20,1062,57,400,52,8,Deep Dive,82,False,3186
202,Free,saas,2025-11-08,1088,64,569,32,N/A,Deep Dive,93,False,3264
203,Free,Rekruttering,2025-08-26,2116,143,865,79,22,Standard,58,True,2116
204,Free,SaaS,2025-12-28,2158,34,727,90,16,Standard,68,False,2158
205,Free,saas,2025-11-27,2179,40,694,81,N/A,Deep Dive,90,True,6537
206,Pro,SaaS,2025-12-18,791,19,243,36,7,Deep Dive,77,False,2373
207,Basic,SaaS,2025-05-26,1049,43,462,30,3,Deep Dive,89,False,3147
208,Free,finans,2025-10-25,2060,141,1228,176,50,Deep Dive,93,False,6180
209,Enterprise,Rekruttering,2025-04-22,2275,176,992,92,29,Deep Dive,81,True,6825
210,Enterprise,saas,2025-04-26,185,3,57,5,2,Deep Dive,94,True,555
211,Basic,Rekruttering,2025-07-14,710,31,270,10,3,Deep Dive,80,True,2130
212,Free,saas,2025-03-23,1922,150,884,81,16,Deep Dive,88,False,5766
213,Pro,Finans,2025-04-12,2122,68,1324,68,18,Deep Dive,82,True,6366
214,Pro,Rekruttering,2025-12-09,587,8,365,25,6,Standard,50,False,587
215,Free,Finans,2025-05-19,681,11,253,10,2,Standard,79,True,681
216,Free,Rekruttering,2025-10-08,1372,15,839,44,9,Standard,62,True,1372
217,Startup,Finans,2025-04-25,271,19,139,6,1,Standard,80,False,271
218,Startup,Rekruttering,2025-12-23,1691,91,739,107,20,Deep Dive,77,True,5073
219,,SaaS,2025-08-06,1165,57,707,46,16,Standard,65,True,1165
220,,saas,2025-05-27,1514,47,747,93,26,Deep Dive,84,False,4542
221,Pro,finans,2025-04-18,1147,25,393,44,6,Deep Dive,78,True,3441
222,Free,finans,2025-08-10,1158,24,401,36,N/A,Deep Dive,80,True,3474
223,Pro,Finans,2025-09-13,12328,240,6627,969,126,Deep Dive,82,False,36984
224,,saas,2025-10-09,1620,78,742,28,8,Standard,67,False,1620
225,Enterprise,Rekruttering,2025-12-10,2344,179,1433,121,26,Standard,51,False,2344
226,Startup,finans,2025-11-17,1713,56,853,72,12,Standard,56,True,1713
227,Basic,finans,2025-09-23,1239,93,623,44,5,Deep Dive,75,False,3717
228,Pro,finans,2025-10-22,2007,21,1029,144,36,Deep Dive,94,True,6021
229,Pro,Rekruttering,2025-09-26,614,41,372,27,8,Standard,45,True,614
230,Enterprise,SaaS,2025-09-22,1109,74,418,21,3,Deep Dive,90,False,3327
231,Enterprise,SaaS,2025-10-24,457,8,186,13,3,Standard,84,True,457
232,Enterprise,SaaS,2025-04-19,1075,35,442,30,5,Deep Dive,85,True,3225
233,Basic,SaaS,2025-05-11,1412,82,544,80,10,Deep Dive,83,False,4236
234,Free,Finans,2025-09-30,1280,95,699,35,10,Standard,41,False,1280
235,Enterprise,Rekruttering,2025-05-11,323,9,195,23,4,Deep Dive,85,False,969
236,Free,Finans,2025-12-14,1590,36,822,119,39,Deep Dive,89,False,4770
237,Pro,finans,2026-02-26,1004,59,442,55,19,Deep Dive,76,True,3012
238,Startup,finans,2025-09-21,1129,19,391,19,5,Standard,84,False,1129
239,Pro,SaaS,2026-03-01,532,28,266,19,4,Standard,57,False,532
240,Free,saas,2026-01-25,2263,60,1175,156,N/A,Deep Dive,92,True,6789
241,Startup,Finans,2025-04-17,1616,109,984,86,15,Standard,45,False,1616
242,Basic,SaaS,2026-01-09,166,11,50,3,0,Standard,62,False,166
243,Startup,Rekruttering,2026-03-05,2385,91,1238,68,14,Standard,51,False,2385
244,Enterprise,Finans,2025-03-16,626,46,260,19,3,Standard,76,False,626
245,Pro,Rekruttering,2025-03-19,418,30,179,11,2,Deep Dive,76,False,1254
246,Free,finans,2025-09-03,1611,51,847,49,9,Deep Dive,80,False,4833
247,,SaaS,2025-04-15,1322,23,528,31,10,Standard,53,False,1322
248,Enterprise,finans,2026-02-14,311,22,169,16,3,Standard,76,False,311
249,Startup,Finans,2025-10-31,2204,152,1390,43,14,Standard,68,False,2204
250,Basic,saas,2025-06-28,413,8,201,12,2,Deep Dive,85,True,1239
251,Pro,finans,2025-09-10,1858,29,658,97,28,Deep Dive,98,True,5574
252,Pro,Rekruttering,2025-03-16,2124,131,1188,60,20,Standard,65,False,2124
253,Free,Rekruttering,2025-05-07,352,24,204,8,2,Deep Dive,91,False,1056
254,Enterprise,Finans,2026-02-26,1425,53,894,86,10,Standard,51,False,1425
255,Basic,SaaS,2025-09-05,2392,27,1293,55,N/A,Deep Dive,92,False,7176
256,Startup,SaaS,2025-04-11,1079,66,683,38,8,Standard,80,True,1079
257,,Rekruttering,2025-09-06,1340,97,654,45,5,Deep Dive,86,True,4020
258,Basic,Finans,2025-05-25,1916,94,1227,79,19,Deep Dive,80,False,5748
259,Free,finans,2026-01-29,1150,34,577,83,10,Standard,67,True,1150
260,Basic,Rekruttering,2025-07-23,2489,134,1249,129,44,Standard,73,False,2489
261,Basic,Finans,2025-09-22,1237,23,779,78,18,Deep Dive,87,True,3711
262,,Finans,2025-11-30,1455,88,576,56,19,Standard,49,True,1455
263,Pro,Finans,2025-04-11,1428,81,463,32,10,Standard,66,True,1428
264,Basic,SaaS,2026-02-21,468,9,261,18,5,Deep Dive,97,False,1404
265,Basic,Finans,2025-10-09,2082,37,1054,151,50,Deep Dive,96,False,6246
266,Enterprise,saas,2025-03-24,1980,111,1240,179,42,Deep Dive,86,True,5940
267,Startup,Rekruttering,2025-11-20,217,5,120,12,2,Standard,52,True,217
268,Pro,saas,2025-05-28,949,28,508,71,23,Deep Dive,75,True,2847
269,Enterprise,Finans,2025-07-12,2092,93,762,28,7,Standard,40,False,2092
270,Pro,Rekruttering,2026-03-11,1166,48,587,65,20,Standard,75,True,1166
271,Free,finans,2025-05-23,1629,97,645,63,9,Deep Dive,93,False,4887
272,Startup,saas,2025-10-29,1723,32,803,54,16,Standard,56,True,1723
273,Enterprise,Rekruttering,2026-02-20,196,13,110,12,2,Deep Dive,93,True,588
274,Free,SaaS,2025-11-25,882,55,458,25,3,Standard,44,True,882
275,Pro,SaaS,2025-07-02,2084,103,933,124,35,Standard,59,False,2084
276,Basic,Rekruttering,2026-01-25,846,66,548,31,6,Standard,77,False,846
277,Free,SaaS,2026-02-13,1751,92,728,47,10,Deep Dive,87,True,5253
278,Startup,Finans,2026-01-03,1732,96,918,36,11,Standard,54,False,1732
279,Free,SaaS,2025-12-09,1229,53,726,108,27,Deep Dive,90,True,3687
280,Startup,SaaS,2025-03-24,2285,44,961,134,14,Standard,63,False,2285
281,Pro,SaaS,2025-11-07,603,27,374,37,12,Standard,79,False,603
282,Free,saas,2026-01-09,2212,99,958,76,10,Standard,77,False,2212
283,Basic,Rekruttering,2025-04-17,1752,20,1025,118,34,Deep Dive,75,False,5256
284,Pro,finans,2025-06-28,1502,85,736,41,13,Standard,55,False,1502
285,Enterprise,finans,2025-11-24,1159,38,689,69,7,Deep Dive,90,True,3477
286,Free,finans,2025-12-10,319,10,163,15,4,Deep Dive,82,False,957
287,,saas,2025-11-04,2169,81,1294,161,18,Deep Dive,94,True,6507
288,Startup,saas,2025-05-16,1161,31,674,72,N/A,Standard,69,False,1161
289,Startup,finans,2026-02-01,1307,44,591,46,10,Standard,83,False,1307
290,Pro,finans,2025-09-22,984,60,536,68,13,Deep Dive,93,True,2952
291,Startup,saas,2025-11-05,679,48,279,29,9,Deep Dive,89,True,2037
292,Free,finans,2025-06-10,2245,156,724,83,16,Deep Dive,77,False,6735
293,Startup,SaaS,2025-12-09,1839,118,731,67,17,Standard,48,True,1839
294,Basic,SaaS,2025-10-23,265,14,147,17,3,Standard,54,False,265
295,Free,SaaS,2026-02-06,110,6,36,4,0,Standard,60,False,110
296,Free,finans,2025-05-18,2050,144,961,33,8,Deep Dive,87,True,6150
297,Free,finans,2025-05-15,1588,42,917,102,20,Standard,52,True,1588
298,Startup,Rekruttering,2026-01-02,641,9,410,37,8,Standard,59,True,641
299,Enterprise,Rekruttering,2025-09-29,2345,157,949,136,23,Standard,64,True,2345
300,Pro,Finans,2026-03-11,844,52,520,65,22,Standard,82,False,844
301,Enterprise,Rekruttering,2025-07-06,962,37,528,74,N/A,Standard,57,False,962
302,Enterprise,finans,2026-03-11,1846,47,844,41,10,Deep Dive,98,True,5538
303,Basic,finans,2025-10-12,865,50,427,16,5,Standard,72,False,865
304,Free,saas,2025-09-11,1355,66,617,43,13,Standard,65,False,1355
305,Free,finans,2025-12-16,599,38,244,10,1,Deep Dive,94,False,1797
306,Startup,finans,2025-12-31,600,13,259,18,5,Standard,53,True,600
307,Free,Rekruttering,2026-02-10,2185,147,1382,58,11,Deep Dive,90,True,6555
308,Pro,SaaS,2026-02-06,987,61,514,76,14,Deep Dive,77,False,2961
309,Startup,Rekruttering,2025-05-07,1896,125,647,69,11,Deep Dive,95,False,5688
310,Pro,saas,2026-02-19,901,30,364,37,9,Standard,50,True,901
311,Basic,finans,2026-01-18,1829,69,599,81,15,Deep Dive,84,False,5487
312,Startup,SaaS,2025-12-06,2151,40,753,81,22,Deep Dive,84,True,6453
313,Basic,SaaS,2025-06-09,2291,142,1281,40,4,Standard,46,False,2291
314,Enterprise,Finans,2025-12-26,1465,97,949,87,19,Deep Dive,90,True,4395
315,,SaaS,2025-12-29,2205,29,1086,132,13,Standard,55,True,2205
316,Pro,Finans,2025-09-08,2430,88,1198,149,19,Standard,47,True,2430
317,Basic,Rekruttering,2026-03-08,1312,27,741,46,12,Deep Dive,94,True,3936
318,,SaaS,2025-11-14,1494,66,627,90,29,Deep Dive,78,False,4482
319,Basic,SaaS,2026-02-23,2136,56,1042,76,10,Standard,50,False,2136
320,Enterprise,Rekruttering,2026-03-14,352,19,161,20,4,Deep Dive,75,False,1056
321,Startup,SaaS,2025-10-11,360,19,190,11,2,Standard,75,True,360
322,Free,SaaS,2026-01-05,1906,141,748,95,20,Standard,66,True,1906
323,Free,saas,2026-01-18,2185,70,659,37,10,Standard,73,False,2185
324,Startup,Rekruttering,2026-03-02,1715,48,527,17,N/A,Standard,77,True,1715
325,Enterprise,Finans,2026-02-27,629,48,296,40,5,Deep Dive,76,False,1887
326,Enterprise,SaaS,2026-03-12,1610,37,569,38,10,Standard,71,True,1610
327,Startup,SaaS,2025-04-25,715,50,367,44,9,Deep Dive,75,True,2145
328,Pro,finans,2025-07-01,1391,67,637,59,10,Deep Dive,78,True,4173
329,Pro,Finans,2026-01-20,874,59,324,11,2,Deep Dive,86,True,2622
330,Enterprise,saas,2025-05-09,274,18,120,15,4,Standard,53,False,274
331,Free,SaaS,2026-01-26,1561,106,824,70,11,Deep Dive,84,False,4683
332,Startup,finans,2025-12-14,509,17,171,22,5,Standard,66,False,509
333,Startup,SaaS,2026-02-01,2163,106,833,70,15,Deep Dive,95,False,6489
334,Free,Finans,2026-01-12,2268,59,1371,134,14,Standard,63,True,2268
335,Free,Finans,2025-10-18,2386,141,1454,102,31,Deep Dive,79,True,7158
336,Startup,Rekruttering,2026-02-05,2359,25,1240,56,11,Standard,65,True,2359
337,Basic,finans,2025-07-10,1572,36,555,73,24,Deep Dive,93,True,4716
338,Enterprise,Rekruttering,2025-05-17,602,39,258,20,5,Standard,47,True,602
339,,SaaS,2025-07-25,544,10,285,41,7,Standard,50,True,544
